Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,67.510002,68.430000,67.120003,68.250000,58.394657,3930300
2019-01-03,68.110001,68.110001,67.120003,67.300003,57.581833,5407700
2019-01-04,68.000000,68.150002,67.669998,67.980003,58.163643,5103400
2019-01-07,68.589996,68.589996,67.449997,67.690002,57.915527,5907000
2019-01-08,68.000000,68.190002,67.330002,67.820000,58.026737,7337200
2019-01-09,67.500000,68.410004,67.379997,68.139999,58.882240,5124400
2019-01-10,68.199997,68.870003,67.779999,68.800003,59.452572,3953000
2019-01-11,68.839996,68.860001,68.330002,68.860001,59.504410,3519700
2019-01-14,68.739998,69.050003,68.559998,68.650002,59.322937,3248300
2019-01-15,68.550003,69.540001,68.419998,69.330002,59.910561,2665500
2019-01-16,69.849998,70.900002,69.849998,70.629997,61.033932,4320500
2019-01-17,70.419998,71.370003,70.330002,71.339996,61.647465,3382200
2019-01-18,71.910004,72.580002,71.800003,72.339996,62.511597,4799300
2019-01-21,72.580002,72.900002,72.089996,72.900002,62.995541,1476100
2019-01-22,72.400002,72.559998,71.730003,72.410004,62.572102,4053600
2019-01-23,72.449997,73.099998,72.150002,72.199997,62.390636,3067000
2019-01-24,72.120003,72.790001,72.059998,72.660004,62.788132,2512400
2019-01-25,73.000000,73.029999,72.529999,72.830002,62.935040,1908100
2019-01-28,72.400002,73.180000,72.339996,73.169998,63.228844,1971000
2019-01-29,73.379997,73.919998,73.120003,73.709999,63.695477,3106200
2019-01-30,73.750000,73.940002,73.529999,73.730003,63.712769,3368400
